start_lat,start_lon,name,skill,target_city,priority,let,lon,weather_main,clouds_all,wind_speed,date_time_text,type_craft,speed,fuel_capacity,score
31.79592425,35.21198075969497,John Doe,8,Damascus,5,33.5130695,36.3095814,Clear,0,2.57,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.6128921181972544
31.79592425,35.21198075969497,John Doe,8,Beirut,4,33.8959203,35.47843,Clouds,72,3.58,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.4010701858305832
31.79592425,35.21198075969497,John Doe,8,Amman,3,31.9515694,35.9239625,Clear,0,4.35,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.3512971483468603
31.79592425,35.21198075969497,John Doe,8,Cairo,3,30.0443879,31.2357257,Clear,0,3.69,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.7525123631813935
31.79592425,35.21198075969497,John Doe,8,Baghdad,5,33.3061701,44.3872213,Clear,0,4.79,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.6476408252347938
31.79592425,35.21198075969497,John Doe,8,Tehran,4,35.6892523,51.3896004,Clouds,30,2,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.6407049646095728
31.79592425,35.21198075969497,John Doe,8,Riyadh,3,24.638916,46.7160104,Clear,0,4.3,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.5113853749508344
31.79592425,35.21198075969497,John Doe,8,Tripoli,2,32.896672,13.1777923,Clear,1,5.71,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.2584263083717747
31.79592425,35.21198075969497,John Doe,8,Ankara,4,39.9207886,32.8540482,Clear,2,2.17,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.5131136909852557
31.79592425,35.21198075969497,John Doe,8,Khartoum,3,15.5635972,32.5349123,Clouds,92,5.27,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.401347767399183
31.79592425,35.21198075969497,John Doe,8,Gaza,5,31.5128679,34.4581358,Clear,2,2.22,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.26376214396912034
31.79592425,35.21198075969497,John Doe,8,Sanaa,2,15.3538569,44.2058841,Clouds,42,2.03,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.5386542181070528
31.79592425,35.21198075969497,John Doe,8,Manama,2,26.2235041,50.5822436,Clear,0,1.76,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.541923059346441
31.79592425,35.21198075969497,John Doe,8,Kuwait City,3,29.3796532,47.9734174,Clear,0,2.93,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.6025840524683728
31.79592425,35.21198075969497,John Doe,8,Doha,4,25.2856329,51.5264162,Clear,0,2.16,2024-09-17 00:00:00,Fighter Jet,1500,3000,0.5652536278712753
31.79592425,35.21198075969497,John Doe,8,Damascus,5,33.5130695,36.3095814,Clear,0,2.57,2024-09-17 00:00:00,Bomber,900,5000,0.5016168410764301
31.79592425,35.21198075969497,John Doe,8,Beirut,4,33.8959203,35.47843,Clouds,72,3.58,2024-09-17 00:00:00,Bomber,900,5000,0.7080437598015636
31.79592425,35.21198075969497,John Doe,8,Amman,3,31.9515694,35.9239625,Clear,0,4.35,2024-09-17 00:00:00,Bomber,900,5000,0.3724236451184204
31.79592425,35.21198075969497,John Doe,8,Cairo,3,30.0443879,31.2357257,Clear,0,3.69,2024-09-17 00:00:00,Bomber,900,5000,0.39714087606907483
31.79592425,35.21198075969497,John Doe,8,Baghdad,5,33.3061701,44.3872213,Clear,0,4.79,2024-09-17 00:00:00,Bomber,900,5000,0.4260097502466032
31.79592425,35.21198075969497,John Doe,8,Tehran,4,35.6892523,51.3896004,Clouds,30,2,2024-09-17 00:00:00,Bomber,900,5000,0.5296240948845368
31.79592425,35.21198075969497,John Doe,8,Riyadh,3,24.638916,46.7160104,Clear,0,4.3,2024-09-17 00:00:00,Bomber,900,5000,0.4218958876459941
31.79592425,35.21198075969497,John Doe,8,Tripoli,2,32.896672,13.1777923,Clear,1,5.71,2024-09-17 00:00:00,Bomber,900,5000,0.38060694142400153
31.79592425,35.21198075969497,John Doe,8,Ankara,4,39.9207886,32.8540482,Clear,2,2.17,2024-09-17 00:00:00,Bomber,900,5000,0.499696281677763
31.79592425,35.21198075969497,John Doe,8,Khartoum,3,15.5635972,32.5349123,Clouds,92,5.27,2024-09-17 00:00:00,Bomber,900,5000,0.5455975695691633
31.79592425,35.21198075969497,John Doe,8,Gaza,5,31.5128679,34.4581358,Clear,2,2.22,2024-09-17 00:00:00,Bomber,900,5000,0.4753306515779865
31.79592425,35.21198075969497,John Doe,8,Sanaa,2,15.3538569,44.2058841,Clouds,42,2.03,2024-09-17 00:00:00,Bomber,900,5000,0.3863513916725537
31.79592425,35.21198075969497,John Doe,8,Manama,2,26.2235041,50.5822436,Clear,0,1.76,2024-09-17 00:00:00,Bomber,900,5000,0.6148042546383027
31.79592425,35.21198075969497,John Doe,8,Kuwait City,3,29.3796532,47.9734174,Clear,0,2.93,2024-09-17 00:00:00,Bomber,900,5000,0.5952295399727547
31.79592425,35.21198075969497,John Doe,8,Doha,4,25.2856329,51.5264162,Clear,0,2.16,2024-09-17 00:00:00,Bomber,900,5000,0.5748008609367266
31.79592425,35.21198075969497,John Doe,8,Damascus,5,33.5130695,36.3095814,Clear,0,2.57,2024-09-17 00:00:00,Drone,500,1000,0.619794087265434
31.79592425,35.21198075969497,John Doe,8,Beirut,4,33.8959203,35.47843,Clouds,72,3.58,2024-09-17 00:00:00,Drone,500,1000,0.3599288872397911
31.79592425,35.21198075969497,John Doe,8,Amman,3,31.9515694,35.9239625,Clear,0,4.35,2024-09-17 00:00:00,Drone,500,1000,0.6578337162368898
31.79592425,35.21198075969497,John Doe,8,Cairo,3,30.0443879,31.2357257,Clear,0,3.69,2024-09-17 00:00:00,Drone,500,1000,0.6532903004656812
31.79592425,35.21198075969497,John Doe,8,Baghdad,5,33.3061701,44.3872213,Clear,0,4.79,2024-09-17 00:00:00,Drone,500,1000,0.3148762679554846
31.79592425,35.21198075969497,John Doe,8,Tehran,4,35.6892523,51.3896004,Clouds,30,2,2024-09-17 00:00:00,Drone,500,1000,0.5907604492426403
31.79592425,35.21198075969497,John Doe,8,Riyadh,3,24.638916,46.7160104,Clear,0,4.3,2024-09-17 00:00:00,Drone,500,1000,0.5446870036300663
31.79592425,35.21198075969497,John Doe,8,Tripoli,2,32.896672,13.1777923,Clear,1,5.71,2024-09-17 00:00:00,Drone,500,1000,0.4462807141638895
31.79592425,35.21198075969497,John Doe,8,Ankara,4,39.9207886,32.8540482,Clear,2,2.17,2024-09-17 00:00:00,Drone,500,1000,0.5447966514571365
31.79592425,35.21198075969497,John Doe,8,Khartoum,3,15.5635972,32.5349123,Clouds,92,5.27,2024-09-17 00:00:00,Drone,500,1000,0.5618312930925314
31.79592425,35.21198075969497,John Doe,8,Gaza,5,31.5128679,34.4581358,Clear,2,2.22,2024-09-17 00:00:00,Drone,500,1000,0.45010010035007686
31.79592425,35.21198075969497,John Doe,8,Sanaa,2,15.3538569,44.2058841,Clouds,42,2.03,2024-09-17 00:00:00,Drone,500,1000,0.3623963425060806
31.79592425,35.21198075969497,John Doe,8,Manama,2,26.2235041,50.5822436,Clear,0,1.76,2024-09-17 00:00:00,Drone,500,1000,0.5546265348673943
31.79592425,35.21198075969497,John Doe,8,Kuwait City,3,29.3796532,47.9734174,Clear,0,2.93,2024-09-17 00:00:00,Drone,500,1000,0.46345169533172403
31.79592425,35.21198075969497,John Doe,8,Doha,4,25.2856329,51.5264162,Clear,0,2.16,2024-09-17 00:00:00,Drone,500,1000,0.5066501267265758
31.79592425,35.21198075969497,John Doe,8,Damascus,5,33.5130695,36.3095814,Clear,0,2.57,2024-09-17 00:00:00,Helicopter,400,800,0.5098139784127094
31.79592425,35.21198075969497,John Doe,8,Beirut,4,33.8959203,35.47843,Clouds,72,3.58,2024-09-17 00:00:00,Helicopter,400,800,0.3530042634082865
31.79592425,35.21198075969497,John Doe,8,Amman,3,31.9515694,35.9239625,Clear,0,4.35,2024-09-17 00:00:00,Helicopter,400,800,0.35102127008876627
31.79592425,35.21198075969497,John Doe,8,Cairo,3,30.0443879,31.2357257,Clear,0,3.69,2024-09-17 00:00:00,Helicopter,400,800,0.47310382128078954
31.79592425,35.21198075969497,John Doe,8,Baghdad,5,33.3061701,44.3872213,Clear,0,4.79,2024-09-17 00:00:00,Helicopter,400,800,0.46523286279424003
31.79592425,35.21198075969497,John Doe,8,Tehran,4,35.6892523,51.3896004,Clouds,30,2,2024-09-17 00:00:00,Helicopter,400,800,0.2716610615744218
31.79592425,35.21198075969497,John Doe,8,Riyadh,3,24.638916,46.7160104,Clear,0,4.3,2024-09-17 00:00:00,Helicopter,400,800,0.5479214610123886
31.79592425,35.21198075969497,John Doe,8,Tripoli,2,32.896672,13.1777923,Clear,1,5.71,2024-09-17 00:00:00,Helicopter,400,800,0.5253059104454375
31.79592425,35.21198075969497,John Doe,8,Ankara,4,39.9207886,32.8540482,Clear,2,2.17,2024-09-17 00:00:00,Helicopter,400,800,0.49619462968766226
31.79592425,35.21198075969497,John Doe,8,Khartoum,3,15.5635972,32.5349123,Clouds,92,5.27,2024-09-17 00:00:00,Helicopter,400,800,0.6773812221504201
31.79592425,35.21198075969497,John Doe,8,Gaza,5,31.5128679,34.4581358,Clear,2,2.22,2024-09-17 00:00:00,Helicopter,400,800,0.5011185914247133
31.79592425,35.21198075969497,John Doe,8,Sanaa,2,15.3538569,44.2058841,Clouds,42,2.03,2024-09-17 00:00:00,Helicopter,400,800,0.5531580334826256
31.79592425,35.21198075969497,John Doe,8,Manama,2,26.2235041,50.5822436,Clear,0,1.76,2024-09-17 00:00:00,Helicopter,400,800,0.40177271128519804
